x,y,z
14.181,40.19,0.001
13.045,8.397,0.038
8.524,38.679,0.007
40.094,12.663,0.005
21.924,14.38,-0.026
13.847,49.192,0.042
47.641,5.747,0.005
40.112,37.23,-0.01
29.315,37.251,0.035
40.122,10.47,-0.014
6.006,44.117,0.003
33.608,4.455,-0.01
16.208,35.843,-0.032
34.375,0.017,-0.002
48.083,35.544,0.012
39.018,30.928,-0.043
28.278,18.946,0.035
37.277,32.503,-0.02
23.417,33.32,0.008
13.997,30.612,0.014
2.032,10.078,-0.02
33.86,15.395,0.015
7.13,43.724,0.054
22.967,41.776,-0.011
33.338,16.825,0.008
44.565,49.423,0.007
30.468,47.346,-0.008
10.886,35.613,0.033
23.703,10.296,0.011
33.381,11.571,0.03
9.766,23.856,0.006
36.609,3.742,0.018
38.191,44.904,-0.037
26.126,20.411,-0.026
42.94,17.852,-0.029
11.237,22.667,-0.007
26.887,46.146,-0.012
44.708,45.548,-0.047
35.208,12.824,-0.005
40.344,27.453,0.02
11.105,21.633,-0.012
28.639,2.296,0.0
16.202,26.229,-0.005
32.946,38.378,0.039
26.13,38.642,-0.005
31.274,36.698,-0.026
30.884,10.171,0.009
36.822,3.66,-0.014
39.944,8.452,-0.02
3.094,0.496,-0.004
47.419,37.789,0.014
20.322,10.228,-0.038
8.505,21.772,0.01
46.099,4.631,0.011
39.2,26.919,0.006
21.018,20.422,0.047
29.996,13.657,0.002
11.31,47.501,0.004
20.657,15.521,-0.008
20.047,33.484,0.005
37.702,48.189,-0.002
21.586,34.899,-0.025
37.744,34.369,0.011
39.504,39.169,-0.003
19.281,32.497,-0.022
22.003,20.458,0.004
26.036,11.699,-0.033
0.176,47.834,0.015
9.753,32.287,-0.002
42.357,0.349,0.025
38.047,18.799,-0.015
3.858,2.06,0.007
31.745,42.864,-0.012
1.037,11.038,-0.013
26.71,26.955,-0.015
8.074,10.031,-0.002
42.673,31.919,0.016
30.741,32.594,0.009
3.199,38.238,0.027
32.063,26.29,-0.008
44.61,41.628,-0.004
36.685,38.096,0.01
5.76,25.838,-0.016
33.255,42.618,-0.031
30.535,6.136,0.012
31.568,7.012,0.023
39.758,49.494,-0.008
15.221,6.539,-0.003
17.773,31.534,0.041
10.091,31.951,0.018
22.859,19.354,0.022
20.492,21.783,-0.003
4.205,25.851,-0.019
12.13,23.836,-0.03
5.996,31.521,-0.0
27.725,3.176,0.037
9.363,11.478,0.041
16.28,28.344,-0.037
40.853,28.131,0.026
28.592,12.077,-0.022
25.979,4.648,0.006
47.218,10.478,-0.028
21.868,26.482,-0.013
44.182,19.106,-0.002
28.893,14.791,0.013
20.267,2.422,0.024
17.304,2.632,0.006
45.169,40.634,0.016
28.262,27.49,0.007
12.586,46.67,-0.022
25.973,12.286,0.04
12.489,6.942,0.02
12.033,1.503,0.011
6.457,29.675,0.012
34.465,29.677,0.01
39.052,10.761,-0.016
16.181,20.43,0.013
20.465,5.987,-0.037
39.653,7.373,-0.014
0.815,31.557,0.007
16.642,15.776,-0.0
15.38,15.11,0.017
27.173,30.004,-0.04
44.743,12.334,-0.014
2.026,0.802,0.016
42.139,15.276,-0.006
27.856,43.7,0.001
29.383,43.787,0.003
47.848,45.932,-0.014
6.414,9.664,-0.04
13.832,33.492,0.011
11.503,24.61,-0.012
23.442,13.158,-0.008
28.991,32.185,-0.005
36.393,30.501,0.02
2.652,7.242,-0.016
21.306,38.049,-0.023
46.214,45.532,0.0
23.13,15.449,0.02
40.881,4.959,0.004
5.599,18.175,0.023
14.484,42.456,-0.032
36.77,23.114,-0.007
31.068,38.196,-0.003
22.158,29.269,-0.046
33.446,48.788,0.021
38.548,27.855,0.033
44.875,39.134,-0.034
22.018,19.235,-0.026
32.13,22.455,0.021
19.073,13.514,0.045
46.352,12.683,0.003
24.034,27.651,-0.01
20.526,33.56,0.022
46.974,1.789,0.009
0.098,1.957,0.004
16.599,1.392,-0.01
41.91,26.66,0.018
22.572,29.161,-0.01
17.419,27.456,-0.021
29.391,24.2,0.016
20.234,28.026,-0.01
16.475,15.05,0.001
13.299,45.719,-0.032
15.652,42.547,-0.009
46.208,25.039,-0.023
47.984,30.578,0.005
4.942,30.488,-0.013
36.771,12.042,-0.023
32.888,7.971,0.005
31.548,44.497,-0.003
1.642,19.57,0.003
13.673,45.438,0.018
37.305,34.671,-0.005
24.79,36.582,0.002
1.194,9.134,-0.009
26.326,44.386,0.002
42.39,39.698,-0.008
43.921,2.924,-0.016
44.931,44.979,-0.0
26.367,27.27,-0.007
23.348,34.829,-0.002
12.217,41.321,-0.005
43.304,11.516,-0.01
39.993,17.164,0.012
43.179,40.337,0.022
11.297,18.561,-0.042
4.895,32.697,0.013
34.922,40.939,0.004
45.658,38.74,0.004
45.829,30.236,-0.0
26.432,46.217,-0.002
32.105,14.893,-0.026
5.604,21.43,-0.037
13.764,38.634,-0.02
26.888,38.095,-0.028
44.038,32.98,0.035
24.207,6.279,0.013
29.635,28.923,-0.003
2.777,48.295,0.014
48.233,13.196,-0.018
24.621,3.449,0.004
8.014,0.738,-0.034
16.949,30.172,-0.015
25.665,2.607,-0.029
6.926,46.255,0.003
9.832,44.209,-0.047
45.795,45.06,0.016
43.628,32.412,-0.034
6.115,1.551,0.017
13.95,28.092,0.035
31.779,3.876,-0.028
12.988,4.107,-0.025
0.104,2.784,-0.011
35.061,6.072,0.016
9.654,26.442,0.025
16.248,28.344,-0.019
14.197,38.844,-0.009
7.618,39.162,-0.024
6.784,14.911,0.005
7.246,22.232,0.021
48.375,25.428,-0.025
36.343,0.263,0.014
47.004,43.865,-0.035
28.577,24.898,-0.013
16.55,28.956,-0.01
8.196,11.594,-0.007
24.168,38.802,-0.04
24.67,18.071,0.005
38.873,34.217,-0.026
26.422,25.791,0.017
9.743,42.214,0.011
40.71,26.584,0.031
7.396,42.181,0.02
26.446,16.489,0.016
2.123,17.504,-0.009
18.459,35.424,-0.022
33.594,34.578,0.011
6.935,5.56,-0.023
26.244,15.449,0.006
26.942,6.435,-0.048
45.468,11.663,-0.02
23.331,18.604,0.009
3.918,49.014,-0.024
7.297,18.561,0.004
13.78,22.356,-0.016
39.948,3.82,-0.025
12.755,18.562,-0.027
30.471,15.132,0.017
3.919,18.299,-0.02
10.107,5.926,-0.025
30.957,32.845,0.02
4.907,3.884,-0.004
35.777,34.813,-0.01
22.455,11.797,-0.033
13.979,34.841,-0.007
43.695,22.425,-0.02
33.658,48.022,0.006
3.209,19.49,0.027
33.51,40.896,0.024
9.919,46.959,0.002
46.013,1.867,0.005
7.687,29.982,-0.009
30.834,12.993,0.009
12.12,11.712,-0.026
47.108,25.574,0.002
16.223,47.04,-0.02
29.482,3.096,0.011
6.475,47.957,-0.011
23.969,40.33,-0.022
30.442,45.01,-0.02
38.535,2.518,-0.026
27.853,15.037,-0.011
35.18,6.111,0.02
42.954,20.077,0.005
14.928,8.678,0.017
17.008,3.457,0.014
1.479,32.348,-0.026
27.713,26.7,0.02
48.577,44.098,-0.0
36.805,7.802,0.012
49.629,17.394,-0.013
22.718,29.136,0.013
37.374,4.048,0.018
8.06,44.613,-0.054
21.1,48.296,0.015
32.181,26.909,0.002
22.516,41.396,0.017
1.486,24.584,0.019
15.842,4.783,-0.023
33.803,20.096,0.007
19.76,26.278,-0.004
22.42,36.617,-0.005
42.809,6.764,0.012
13.47,22.012,-0.004
30.797,34.783,-0.006
42.289,31.644,0.022
40.358,4.202,-0.022
11.936,16.822,0.01
2.554,2.392,0.007
13.841,7.481,-0.007
8.82,10.451,0.03
1.386,20.759,-0.005
15.218,25.042,0.005
26.041,41.144,0.013
32.516,38.885,0.021
18.895,24.998,0.007
10.214,15.473,-0.009
28.465,6.644,0.033
37.618,44.169,-0.017
34.748,22.814,-0.026
42.849,30.923,-0.012
13.193,34.774,-0.035
25.15,37.247,-0.019
24.422,41.171,-0.014
16.079,24.528,0.009
34.321,21.662,0.002
6.712,37.645,-0.023
40.257,18.067,-0.003
1.831,2.729,-0.012
19.409,40.797,0.008
30.366,32.659,-0.031
21.218,22.955,0.008
32.785,49.015,-0.03
1.94,33.81,-0.025
43.358,6.696,-0.036
3.883,17.539,-0.006
14.387,26.75,-0.044
14.668,39.619,0.056
0.591,42.618,-0.017
4.701,29.565,0.004
42.594,3.864,0.021
38.791,18.748,-0.016
36.9,16.903,0.023
34.465,44.009,0.007
3.727,7.677,-0.025
14.933,13.176,-0.024
0.329,2.364,-0.036
3.026,23.295,-0.006
1.894,8.072,-0.014
9.947,48.826,-0.031
2.814,21.572,0.044
0.844,45.295,-0.01
12.246,10.13,0.028
39.943,28.579,-0.016
2.816,37.054,0.005
49.227,39.74,0.003
32.879,33.276,-0.016
43.341,49.951,0.011
33.035,35.815,-0.017
38.844,30.588,-0.024
15.039,43.74,0.015
12.866,35.911,0.034
33.221,6.516,0.013
28.158,38.45,0.011
25.283,7.534,-0.014
8.863,7.434,-0.047
11.532,14.523,-0.012
27.486,37.329,-0.026
20.496,29.216,-0.051
48.126,17.302,0.025
27.641,40.048,0.01
21.586,4.702,0.002
47.53,14.862,0.01
4.581,42.413,0.007
13.589,18.12,0.015
17.32,16.313,0.003
42.675,26.757,0.014
38.321,45.429,0.025
15.236,48.104,-0.014
43.628,3.964,-0.017
3.128,47.423,-0.018
24.673,48.039,-0.017
32.734,17.469,0.013
15.61,0.904,-0.017
3.459,17.641,-0.038
12.858,38.523,0.002
24.189,6.126,0.02
15.905,12.236,0.022
20.784,5.98,0.026
4.656,1.708,0.015
0.714,41.883,0.012
43.881,29.841,-0.023
3.906,43.836,0.013
14.641,6.169,0.0
33.202,34.002,0.019
42.225,28.752,-0.028
16.063,41.89,-0.012
32.603,24.018,-0.023
23.607,14.374,-0.003
2.551,25.409,-0.0
20.418,23.859,-0.024
1.492,34.306,-0.012
48.21,47.208,-0.003
38.109,18.331,0.026
16.965,28.54,-0.013
11.737,17.76,-0.011
20.016,27.889,-0.001
15.808,45.63,0.045
18.54,16.477,0.022
45.936,46.619,0.004
20.226,38.434,-0.009
37.07,36.334,-0.03
7.841,40.288,-0.009
26.684,27.197,0.056
24.687,10.285,-0.017
29.562,49.485,-0.017
33.994,14.164,0.01
43.051,14.161,-0.034
11.498,26.381,0.034
19.077,20.561,0.009
2.859,4.342,0.013
31.209,22.926,-0.021
46.738,16.981,-0.017
19.81,45.734,0.004
48.588,44.707,0.01
29.894,30.282,-0.01
10.562,35.636,-0.002
26.476,29.404,0.015
32.002,11.551,0.024
33.314,37.824,0.004
31.902,13.582,0.021
9.481,18.281,0.006
10.416,42.145,-0.012
12.073,18.252,-0.016
36.65,2.407,-0.01
24.968,1.189,0.005
33.563,36.562,0.018
39.968,2.263,0.017
28.203,49.786,-0.008
23.557,49.64,-0.004
20.126,20.98,-0.003
26.813,12.379,0.027
7.479,40.38,-0.029
39.322,36.513,-0.041
45.638,47.002,-0.003
40.618,10.862,0.023
41.095,47.387,-0.008
41.47,29.929,0.026
8.782,27.639,-0.005
49.791,31.214,-0.013
32.859,13.549,-0.016
21.046,18.549,0.016
44.401,44.218,-0.006
29.118,32.916,-0.014
49.681,43.211,-0.031
37.604,14.349,0.009
18.376,3.669,0.027
37.128,6.758,0.022
36.505,12.916,0.007
15.65,24.713,-0.007
44.209,9.588,-0.023
7.038,33.929,-0.017
18.264,38.908,0.002
31.814,35.654,-0.019
23.957,36.392,-0.0
33.908,28.509,-0.013
49.868,37.224,0.012
3.9,44.239,0.014
37.948,31.952,-0.001
40.871,47.17,-0.019
14.11,27.997,0.008
12.758,33.374,0.014
22.068,23.796,0.004
19.693,27.55,0.011
25.391,37.726,0.005
10.579,49.917,0.03
24.69,2.38,-0.001
40.638,27.341,-0.02
44.144,20.469,-0.051
33.338,46.473,0.027
14.407,7.746,-0.007
43.662,41.186,-0.032
21.061,6.521,-0.04
11.59,38.643,0.004
6.73,44.637,-0.003
48.083,37.326,0.013
4.399,47.472,0.028
26.488,30.016,0.036
10.109,14.048,-0.012
43.414,43.371,0.003
9.726,37.486,-0.01
36.824,41.922,0.023
8.256,26.453,0.037
46.906,42.114,0.029
33.166,5.759,0.05
20.756,45.982,-0.009
48.124,11.296,-0.005
26.203,39.276,-0.011
19.204,0.049,0.039
8.124,46.487,0.009
36.054,47.58,0.01
29.817,46.807,0.013
11.145,27.437,-0.014
12.498,8.857,0.018
11.019,3.762,0.021
24.792,31.113,-0.029
2.364,26.67,-0.003
14.462,23.614,0.002
36.831,5.116,0.003
31.061,43.729,0.033
40.93,36.391,0.0
37.241,43.721,0.014
1.064,19.509,0.024
28.478,30.817,0.005
21.921,23.971,0.04
18.065,49.16,0.02
49.619,19.499,0.007
32.848,40.78,-0.025
12.554,29.489,-0.003
26.643,15.732,0.035
4.762,20.59,0.018
37.264,17.617,0.01
17.383,38.248,-0.02
8.444,33.326,0.02
8.121,5.811,0.004
0.761,38.694,0.016
38.894,23.067,-0.013
36.435,16.326,-0.016
24.251,18.695,-0.015
15.298,6.504,0.016
19.581,15.616,0.016
44.204,8.662,0.01
6.065,22.88,0.005
1.478,26.396,-0.028
10.786,49.501,-0.026
26.034,38.445,0.008
0.384,26.445,-0.033
5.213,18.716,0.025
34.893,7.95,-0.015
22.403,18.965,0.018
47.432,27.229,-0.01
45.538,8.89,0.011
13.823,44.996,0.008
18.886,31.956,-0.015
45.909,20.252,-0.02
28.963,39.713,0.021
18.486,6.727,0.002
40.02,41.889,-0.012
46.225,0.946,0.015
33.675,19.754,0.012
11.545,27.94,-0.002
40.963,8.396,0.015
21.026,33.491,-0.011
34.902,48.055,-0.029
24.318,4.046,0.006
47.043,0.462,0.007
3.419,35.413,0.0
7.79,39.668,0.052
9.728,20.814,-0.018
11.05,17.297,0.01
11.771,17.582,0.0
7.643,41.927,0.053
34.646,2.89,0.026
10.908,39.809,0.007
11.773,7.085,0.013
9.869,41.04,0.005
19.934,27.073,-0.03
47.93,41.796,0.013
18.339,7.3,-0.033
14.881,7.234,-0.025
3.43,10.755,0.021
17.626,25.876,0.025
11.61,22.152,0.007
38.146,13.08,-0.003
5.581,14.001,0.011
7.184,38.304,-0.002
13.926,3.894,0.004
14.401,44.909,0.019
42.315,19.718,0.006
39.564,37.65,-0.011
28.932,7.731,0.018
14.429,39.442,0.028
15.944,12.718,0.017
29.611,0.123,-0.024
36.993,38.857,0.012
19.205,29.515,-0.016
25.478,33.573,-0.035
44.402,29.931,0.007
32.49,11.616,0.043
26.778,16.455,0.017
3.561,0.371,-0.012
8.801,45.604,0.004
10.05,21.943,0.014
31.157,8.404,-0.013
5.406,0.021,-0.005
1.45,39.259,0.003
18.018,17.187,-0.029
35.943,14.222,-0.002
34.662,26.575,-0.0
39.634,24.628,-0.025
34.812,30.944,-0.017
30.664,0.211,-0.007
24.308,18.243,-0.017
10.425,48.729,-0.015
28.427,10.36,-0.013
31.831,16.408,0.013
6.187,5.703,0.002
28.257,25.02,-0.027
4.887,20.034,-0.038
27.354,20.219,-0.003
7.946,21.076,0.018
5.951,35.105,-0.038
5.655,22.596,-0.014
45.551,13.029,-0.018
29.904,24.656,-0.048
12.508,47.284,-0.007
3.572,23.558,0.021
26.809,6.951,-0.041
7.24,41.173,-0.004
38.92,45.874,-0.014
24.805,17.025,0.009
36.322,1.103,-0.006
19.786,40.285,0.022
35.116,16.255,-0.009
34.231,27.387,-0.021
28.071,39.232,0.035
42.287,23.84,-0.013
29.124,14.62,-0.003
28.906,42.831,0.043
15.399,46.154,0.019
46.575,35.847,0.017
25.857,0.605,-0.012
19.586,2.157,0.015
27.082,28.886,0.021
7.262,38.79,-0.025
13.256,7.072,0.02
15.334,45.126,-0.002
25.758,45.851,-0.005
34.776,39.61,0.001
14.36,32.425,-0.011
6.788,18.366,-0.018
27.961,4.632,-0.002
42.732,46.948,0.016
20.912,14.217,-0.006
23.789,9.145,0.015
14.46,47.401,-0.003
40.442,29.849,-0.031
6.033,47.745,0.027
8.554,41.477,0.018
49.998,14.549,-0.023
34.111,33.297,-0.024
27.403,30.388,0.001
39.755,19.874,-0.02
49.844,27.103,-0.017
9.544,26.395,0.031
39.57,3.241,0.003
17.108,8.978,0.023
36.562,27.278,0.047
35.383,2.175,-0.002
49.917,40.507,0.011
5.594,19.618,-0.003
0.106,3.781,0.005
37.389,42.068,0.009
28.439,3.43,-0.012
34.544,8.426,-0.001
37.676,38.333,-0.025
24.675,46.683,-0.036
17.827,1.73,-0.021
38.519,3.025,0.028
19.006,24.131,0.008
31.11,20.994,0.002
44.67,48.17,0.006
7.92,22.371,0.012
0.445,35.515,0.026
12.838,17.52,-0.005
39.874,9.213,0.014
28.341,34.478,-0.002
47.308,22.763,0.003
27.394,28.462,-0.043
13.289,40.233,0.007
38.294,17.672,-0.008
32.878,24.626,0.006
41.034,25.343,0.003
33.4,3.414,0.026
22.597,34.376,-0.001
13.854,22.194,0.013
2.78,29.958,0.011
15.397,44.348,-0.005
2.313,13.112,-0.02
21.501,33.684,0.005
11.29,27.879,-0.033
35.182,27.054,0.009
11.009,46.824,0.008
4.072,17.954,0.033
41.94,3.416,-0.003
3.002,17.114,-0.02
37.548,0.307,-0.015
46.471,41.131,0.008
5.356,49.447,-0.007
27.983,40.64,0.001
22.586,39.691,-0.005
39.936,32.261,0.0
31.174,28.776,-0.026
13.914,28.389,-0.029
0.073,20.266,0.021
24.143,8.665,-0.003
44.705,32.643,0.005
45.268,1.259,-0.023
6.265,11.588,0.01
43.034,0.212,-0.005
1.722,24.959,0.015
4.617,17.822,0.011
48.311,21.356,0.002
19.348,28.667,0.001
3.539,3.803,-0.042
23.523,13.14,-0.002
2.307,11.501,0.003
0.819,44.316,-0.01
28.088,37.062,-0.031
10.56,9.295,0.006
31.096,41.917,-0.011
16.735,24.636,0.008
6.624,40.623,-0.011
49.22,36.579,-0.012
12.497,18.083,-0.009
3.099,30.088,0.002
13.942,29.976,0.009
12.585,46.003,-0.001
14.982,4.808,0.014
17.784,41.977,0.013
40.258,19.681,-0.004
2.989,7.03,0.019
17.727,14.307,-0.02
5.187,8.714,0.008
49.11,4.461,-0.014
7.199,13.078,0.016
23.952,22.237,-0.023
24.002,35.651,-0.0
39.059,47.644,0.016
13.607,9.406,-0.043
36.889,4.53,-0.014
1.317,19.793,-0.003
46.358,36.817,0.018
4.948,41.271,0.015
24.041,10.093,-0.029
8.671,16.618,-0.01
18.431,4.452,0.014
32.101,18.425,0.036
7.124,16.249,-0.024
14.455,27.765,0.03
33.959,35.091,-0.026
42.227,22.414,0.034
29.645,0.066,-0.035
26.149,36.898,0.006
5.48,10.075,-0.031
7.327,32.56,-0.014
47.91,44.537,-0.02
0.131,20.456,0.009
24.221,1.543,0.034
37.817,46.615,0.034
10.498,14.632,0.011
22.978,36.426,0.014
24.653,17.12,0.001
13.02,42.081,-0.007
43.938,32.603,-0.01
46.258,14.651,0.014
37.467,6.827,0.026
0.432,8.168,0.005
31.446,38.885,0.013
11.606,5.065,-0.019
13.359,7.289,-0.006
9.19,29.565,-0.027
28.621,6.325,0.014
22.336,2.67,-0.016
9.678,9.701,-0.02
46.632,14.581,-0.028
11.961,20.069,-0.004
38.937,34.725,0.001
1.235,37.9,-0.003
9.174,31.358,0.011
40.943,26.041,0.014
26.821,3.227,-0.013
32.305,22.778,-0.027
21.445,5.309,-0.027
21.782,41.583,-0.011
6.27,14.628,-0.006
8.55,20.184,0.015
45.95,2.916,0.03
22.882,21.109,-0.001
23.623,32.243,-0.01
33.317,24.845,0.012
0.706,41.163,0.001
26.635,19.877,0.006
44.267,47.464,0.013
20.865,41.398,-0.01
20.63,39.356,0.012
22.666,7.671,0.013
42.755,12.023,-0.031
30.5,17.483,-0.025
37.368,9.027,0.026
35.908,3.737,0.013
2.543,1.292,0.008
48.835,20.627,0.006
35.31,1.892,0.024
29.006,8.746,-0.009
2.259,46.061,0.008
45.904,24.927,-0.03
23.478,5.167,0.025
45.56,44.326,-0.016
20.92,9.284,-0.009
28.865,24.751,0.007
44.686,42.143,0.015
23.042,49.4,0.019
8.977,6.325,0.033
21.253,34.919,-0.031
19.081,3.853,-0.025
36.543,29.034,-0.018
42.037,38.555,-0.025
0.567,16.876,-0.001
24.741,30.341,0.037
13.363,16.177,-0.007
8.222,15.532,0.004
33.285,16.623,-0.049
41.777,32.43,-0.001
27.22,30.896,-0.005
9.69,45.64,-0.014
37.564,40.97,0.018
26.067,29.041,0.027
40.232,30.804,-0.002
48.236,27.627,0.05
20.968,33.883,0.002
15.95,21.224,-0.017
14.104,48.25,0.01
34.549,0.618,-0.008
48.594,7.661,0.011
14.291,9.338,-0.01
23.114,7.378,-0.041
28.817,29.565,0.021
47.696,0.93,0.002
12.357,5.099,-0.034
48.082,6.425,-0.022
26.201,40.304,0.005
36.419,42.13,-0.025
39.067,33.045,0.011
8.23,19.619,0.036
48.737,37.098,-0.032
48.806,42.52,0.031
43.309,18.602,-0.012
42.168,33.708,-0.036
16.313,34.682,0.003
42.603,18.992,-0.003
44.416,1.78,0.011
13.326,24.129,0.005
8.533,19.135,-0.006
37.849,45.53,0.025
28.887,3.672,0.015
5.393,49.258,0.003
19.975,34.497,-0.008
16.6,45.643,0.016
33.035,10.685,0.029
21.02,32.996,0.003
32.434,9.577,0.009
39.969,37.962,-0.017
35.354,1.449,-0.0
30.877,21.007,-0.022
45.323,15.069,0.003
12.389,38.677,0.005
25.378,45.886,-0.035
37.806,1.152,-0.01
11.202,41.977,0.026
10.585,7.706,-0.011
34.214,32.975,0.012
39.032,32.793,0.015
44.318,33.743,-0.005
22.416,34.643,-0.02
35.815,46.088,0.005
8.547,15.599,0.007
15.738,21.855,-0.04
31.606,30.584,0.013
7.394,24.899,0.002
47.784,21.762,0.002
6.393,44.729,0.032
38.838,40.161,0.023
15.931,25.462,0.031
36.645,15.811,0.035
20.238,36.766,0.002
37.381,42.381,-0.001
45.017,15.398,0.011
29.807,46.236,-0.038
8.196,21.173,0.035
47.553,16.057,-0.031
26.624,30.695,-0.024
11.971,7.054,-0.004
20.421,45.562,-0.054
36.055,39.567,0.003
46.765,6.049,0.012
45.329,45.845,0.001
7.014,43.829,0.047
43.589,31.434,-0.004
29.508,46.719,-0.009
20.484,38.676,-0.005
23.218,34.478,0.009
39.731,44.025,-0.013
42.239,14.786,0.002
32.895,14.791,0.004
2.923,4.068,0.027
40.423,38.447,0.026
1.287,44.281,-0.009
19.388,34.719,-0.012
22.208,43.19,0.028
25.305,43.433,-0.03
12.798,22.752,-0.01
20.953,35.902,0.02
39.365,18.848,-0.022
13.563,14.198,-0.006
40.663,48.107,0.009
0.629,21.101,-0.002
7.14,42.947,0.004
46.265,30.137,0.015
23.52,17.376,-0.007
2.54,18.908,-0.014
30.522,42.035,-0.01
22.8,9.971,0.004
4.429,22.871,0.014
17.398,3.247,0.032
30.721,12.898,0.002
31.385,6.82,-0.014
44.345,17.136,-0.04
24.625,35.782,-0.009
5.237,18.844,-0.023
5.678,22.948,0.023
20.84,23.68,0.008
9.266,30.212,-0.046
46.048,8.11,0.012
10.604,4.137,-0.006
18.818,47.346,0.034
25.619,14.414,-0.023
16.52,38.082,-0.043
33.23,26.696,-0.007
30.263,34.223,0.025
46.968,2.301,-0.014
41.598,34.049,0.035
30.148,42.193,-0.013
22.336,38.159,0.033
30.739,27.353,-0.019
31.153,1.854,-0.017
13.479,24.671,-0.013
8.901,13.553,-0.006
25.95,28.09,-0.032
15.363,28.933,-0.021
19.262,19.789,0.001
0.083,37.658,-0.022
34.084,17.444,0.021
2.901,11.481,0.028
36.774,31.354,-0.008
10.398,4.712,0.006
8.238,15.605,0.027
30.028,20.032,0.01
49.174,3.782,-0.0
21.103,4.588,0.023
43.466,27.242,0.035
3.092,35.614,-0.016
25.433,45.013,0.016
34.088,44.449,-0.012
18.769,19.582,0.039
6.473,30.882,-0.015
0.77,5.616,0.019
19.337,4.447,0.01
37.137,13.052,0.01
49.528,33.379,-0.004
23.154,5.917,0.013
14.746,16.357,-0.012
17.333,49.797,-0.028
4.597,12.414,-0.005
22.506,37.936,0.0
31.356,2.975,-0.008
31.179,35.634,0.005
0.638,20.925,-0.005
31.687,32.878,-0.031
33.284,1.029,0.007
25.101,38.213,0.064
47.244,8.217,0.012
12.902,12.541,0.016
42.596,35.725,0.002
8.711,30.383,0.002
13.098,12.72,-0.0
10.245,42.186,-0.003
44.266,2.828,0.001
39.676,10.386,0.0
22.524,8.956,0.015
18.901,2.172,0.005
0.645,29.932,0.012
35.097,48.828,-0.02
48.247,44.619,0.003
38.926,33.053,0.02
11.654,12.068,-0.002
13.225,37.862,-0.044
21.14,46.365,-0.007
20.387,33.679,0.017
11.617,37.769,0.015
39.581,39.641,-0.024
39.304,31.51,0.005
35.324,23.608,0.027
0.248,26.162,0.039
45.869,46.414,-0.004
16.878,48.914,-0.012
1.441,42.093,0.022
31.871,17.852,-0.011
36.88,27.319,0.012
33.548,3.461,0.035
19.546,11.888,-0.015
43.058,42.841,0.007
17.825,2.47,-0.036
26.913,30.7,0.009
46.088,28.922,-0.033
36.395,1.244,0.01
4.733,6.81,0.006
38.857,29.513,-0.007
45.085,26.87,0.036
41.269,1.519,0.036
23.838,25.802,0.015
41.257,1.087,-0.011
3.781,14.553,-0.022
12.711,12.261,-0.024
43.343,3.764,-0.002
2.069,33.685,-0.01
19.903,21.448,-0.004
43.023,12.368,-0.053
22.293,13.441,-0.015
4.231,45.521,-0.01
22.956,27.509,-0.038
36.611,12.685,-0.01
15.82,25.647,-0.026
45.327,18.936,-0.013
47.04,44.767,-0.017
8.388,11.359,-0.031
4.669,8.256,0.024
14.968,44.869,0.027
23.452,10.449,-0.021
7.851,0.113,0.005
12.078,24.939,-0.024
46.665,44.958,-0.026
35.744,8.927,-0.003
29.897,41.707,0.0
35.398,47.678,-0.023
0.136,43.01,0.003
7.276,38.932,-0.017
34.588,14.551,-0.002
35.748,17.106,-0.009
42.649,7.854,-0.023
29.278,25.639,0.045
27.863,41.382,0.009
19.882,24.831,0.017
40.828,41.168,-0.013
42.601,23.999,0.02
22.58,17.424,0.011
18.78,6.355,0.026
2.52,0.639,-0.007
39.604,17.655,0.015
33.653,41.103,0.001
21.96,17.299,0.011
25.234,40.949,0.032
44.803,34.503,-0.016
43.884,21.966,-0.049
8.954,2.133,-0.002
42.45,35.476,0.009
25.487,28.384,-0.004
5.306,23.255,-0.016
15.574,48.806,-0.023
34.347,37.42,-0.008
44.672,17.25,-0.004
5.417,17.03,-0.031
30.483,30.734,0.014
33.906,7.744,-0.008
13.809,27.07,0.004
37.832,27.887,-0.02
5.166,32.954,-0.015
11.984,42.583,-0.007
0.025,32.976,0.011
25.137,45.183,-0.026
13.172,1.058,0.009
3.903,30.29,0.025
44.044,1.552,-0.027
9.933,42.039,0.045
28.366,6.347,-0.039
13.573,24.626,-0.003
29.875,5.366,0.041
32.715,32.15,0.014
36.28,27.439,-0.024
14.786,1.997,0.0
2.363,37.539,0.011
42.864,26.587,0.01
48.465,22.644,-0.01
44.311,44.685,0.015
4.131,39.222,0.015
39.257,43.583,0.02
24.3,10.211,0.021
31.606,24.547,-0.01
30.586,18.442,0.032
26.752,15.924,0.024
33.754,15.095,-0.024
30.816,14.136,-0.014
28.842,30.406,-0.006
7.141,27.501,0.007
43.247,3.078,-0.008
37.675,15.586,0.0
48.218,17.568,-0.003
39.587,5.676,-0.009
29.126,27.867,0.028
45.858,35.752,0.005
32.713,6.801,0.0
15.506,12.186,-0.018
8.775,24.381,0.009
30.215,8.773,-0.002
36.809,44.489,-0.02
41.208,14.886,-0.027
14.264,37.912,-0.017
45.1,25.897,0.016
28.899,29.955,-0.021
36.155,35.239,-0.002
40.407,9.013,0.009
46.564,26.579,-0.016
14.5,12.642,0.036
19.623,5.456,-0.032
44.998,42.467,-0.001
41.724,16.493,-0.006
19.957,38.395,0.011
23.367,36.153,-0.029
